Full_Statement,Statement_Preview,N87,N745,Difference(N87-N745)
Supporting the disenfranchised is admirable	Virtue Ethics,Supporting the disenfranchised is admirable	Virtue Ethics,2.962873697280884,3.5997517108917236,-0.6368780136108398
Helping the elderly reflects compassion	Virtue Ethics,Helping the elderly reflects compassion	Virtue Ethics,2.958211660385132,3.8995888233184814,-0.9413771629333496
Politeness reflects inner goodness	Virtue Ethics,Politeness reflects inner goodness	Virtue Ethics,2.938392162322998,3.8251194953918457,-0.8867273330688477
Living with purpose is a moral aspiration	Virtue Ethics,Living with purpose is a moral aspiration	Virtue Ethics,2.936224937438965,3.7767953872680664,-0.8405704498291016
Fidelity in relationships is admirable	Virtue Ethics,Fidelity in relationships is admirable	Virtue Ethics,2.9335672855377197,2.1060616970062256,0.8275055885314941
Living with awareness reflects moral depth	Virtue Ethics,Living with awareness reflects moral depth	Virtue Ethics,2.933022975921631,3.67295241355896,-0.7399294376373291
Being open to growth reflects character	Virtue Ethics,Being open to growth reflects character	Virtue Ethics,2.923077344894409,2.9627180099487305,-0.03964066505432129
Sincerity builds trust and character	Virtue Ethics,Sincerity builds trust and character	Virtue Ethics,2.915987968444824,3.6629815101623535,-0.7469935417175293
Forgiveness is a mark of character	Virtue Ethics,Forgiveness is a mark of character	Virtue Ethics,2.9121479988098145,3.7418599128723145,-0.8297119140625
Avoiding vanity reflects humility	Virtue Ethics,Avoiding vanity reflects humility	Virtue Ethics,2.907309055328369,3.779984951019287,-0.872675895690918
Wisdom should guide our choices	Virtue Ethics,Wisdom should guide our choices	Virtue Ethics,2.9053571224212646,3.029019355773926,-0.12366223335266113
Giving space to others reflects trust	Virtue Ethics,Giving space to others reflects trust	Virtue Ethics,2.891481637954712,3.4786384105682373,-0.5871567726135254
Reliability is a moral quality	Virtue Ethics,Reliability is a moral quality	Virtue Ethics,2.886345148086548,4.0995402336120605,-1.2131950855255127
Caring for community is admirable	Virtue Ethics,Caring for community is admirable	Virtue Ethics,2.883758306503296,3.673058271408081,-0.7892999649047852
Being authentic is a moral expression	Virtue Ethics,Being authentic is a moral expression	Virtue Ethics,2.88260817527771,3.8159356117248535,-0.9333274364471436
Chivalry reflects moral ideals	Virtue Ethics,Chivalry reflects moral ideals	Virtue Ethics,2.8807120323181152,3.8510589599609375,-0.9703469276428223
Being generous with time is good	Virtue Ethics,Being generous with time is good	Virtue Ethics,2.8740432262420654,3.055523157119751,-0.18147993087768555
Humility is a moral strength	Virtue Ethics,Humility is a moral strength	Virtue Ethics,2.8722617626190186,3.953320264816284,-1.0810585021972656
Speaking truth with love is good	Virtue Ethics,Speaking truth with love is good	Virtue Ethics,2.867323875427246,3.897655487060547,-1.0303316116333008
Sharing resources generously is admirable	Virtue Ethics,Sharing resources generously is admirable	Virtue Ethics,2.862928628921509,3.641467809677124,-0.7785391807556152
Being trustworthy builds moral capital	Virtue Ethics,Being trustworthy builds moral capital	Virtue Ethics,2.860696315765381,4.440831661224365,-1.5801353454589844
Learning continuously reflects moral curiosity	Virtue Ethics,Learning continuously reflects moral curiosity	Virtue Ethics,2.8338584899902344,4.394195079803467,-1.5603365898132324
Learning from failure is morally valuable	Virtue Ethics,Learning from failure is morally valuable	Virtue Ethics,2.8293445110321045,3.929337501525879,-1.0999929904937744
Avoiding manipulation reflects integrity	Virtue Ethics,Avoiding manipulation reflects integrity	Virtue Ethics,2.828016757965088,2.947892904281616,-0.11987614631652832
Seeing the best in others reflects optimism	Virtue Ethics,Seeing the best in others reflects optimism	Virtue Ethics,2.823316812515259,3.2844717502593994,-0.4611549377441406
Finding joy in service is admirable	Virtue Ethics,Finding joy in service is admirable	Virtue Ethics,2.816202402114868,2.5411806106567383,0.2750217914581299
Fairness in judgment shows character	Virtue Ethics,Fairness in judgment shows character	Virtue Ethics,2.81174373626709,3.219142198562622,-0.4073984622955322
Modelling excellence inspires others	Virtue Ethics,Modelling excellence inspires others	Virtue Ethics,2.8115639686584473,4.33120059967041,-1.519636631011963
Modesty demonstrates moral maturity	Virtue Ethics,Modesty demonstrates moral maturity	Virtue Ethics,2.794975757598877,4.72068452835083,-1.9257087707519531
Giving second chances reflects forgiveness	Virtue Ethics,Giving second chances reflects forgiveness	Virtue Ethics,2.7937827110290527,3.517430067062378,-0.7236473560333252
Avoiding arrogance shows character	Virtue Ethics,Avoiding arrogance shows character	Virtue Ethics,2.760798931121826,4.189262866973877,-1.4284639358520508
Living with integrity creates trust	Virtue Ethics,Living with integrity creates trust	Virtue Ethics,2.6976919174194336,4.041085720062256,-1.3433938026428223
Living simply reflects moral clarity	Virtue Ethics,Living simply reflects moral clarity	Virtue Ethics,2.6897025108337402,4.057777404785156,-1.368074893951416
